Start of debug log: Wed, 27 Nov 2024 15:16:13 GMT
[Wed, 27 Nov 2024 23:54:50 GMT] Created buffer file (./src/temp/EIT8x1IXbuo-temp_audio.pcm) for song (EIT8x1IXbuo).

[Wed, 27 Nov 2024 23:54:50 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:54:50 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:55:26 GMT] Created buffer file (./src/temp/EONMguszVek-temp_audio.pcm) for song (EONMguszVek).

[Wed, 27 Nov 2024 23:55:26 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:55:26 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:57:05 GMT] Created buffer file (./src/temp/EIT8x1IXbuo-temp_audio.pcm) for song (EIT8x1IXbuo).

[Wed, 27 Nov 2024 23:57:05 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:57:05 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:57:22 GMT] Removed temp audio file (./src/temp/EIT8x1IXbuo-temp_audio.pcm)

[Wed, 27 Nov 2024 23:57:25 GMT] Created buffer file (./src/temp/EONMguszVek-temp_audio.pcm) for song (EONMguszVek).

[Wed, 27 Nov 2024 23:57:25 GMT] Audio is now buffering!

[Wed, 27 Nov 2024 23:57:25 GMT] Audio is now playing!

[Wed, 27 Nov 2024 23:57:34 GMT] Audio has finished playing.

[Thu, 28 Nov 2024 00:11:03 GMT] Cleared temp folder (./src/temp).

[Thu, 28 Nov 2024 00:16:05 GMT] Cleared the queue for bot (1310116919403216997).

[Thu, 28 Nov 2024 00:16:17 GMT] Created buffer file (./src/temp/EONMguszVek-temp_audio.pcm) for song (EONMguszVek).

[Thu, 28 Nov 2024 00:16:17 GMT] Audio is now buffering!

[Thu, 28 Nov 2024 00:16:17 GMT] Audio is now playing!

[Thu, 28 Nov 2024 00:16:50 GMT] Added song (_m6pKuONHrw).

[Thu, 28 Nov 2024 00:16:51 GMT] Added song (n7eqL2vMBBw).

[Thu, 28 Nov 2024 00:16:51 GMT] Added song (m_FjDkd2sQ4).

[Thu, 28 Nov 2024 00:16:52 GMT] Added song (j16mefoqxhU).

[Thu, 28 Nov 2024 00:16:53 GMT] Added song (t4xfQDvrfqQ).

[Thu, 28 Nov 2024 00:16:53 GMT] Added song (0JFlh06NGaE).

[Thu, 28 Nov 2024 00:16:53 GMT] Added song (wm4NCHcw0Yk).

[Thu, 28 Nov 2024 00:16:53 GMT] Added song (wpkRjCBLa6U).

[Thu, 28 Nov 2024 00:16:53 GMT] Added song (9AGAeGsBCvc).

[Thu, 28 Nov 2024 00:16:53 GMT] Added song (aDT8_FFyqnE).

[Thu, 28 Nov 2024 00:16:53 GMT] Added song (rcrmTLJ_XWc).

[Thu, 28 Nov 2024 00:16:53 GMT] Added song (9oMQrrPr5OY).

[Thu, 28 Nov 2024 00:16:54 GMT] Added song (J14-hiZf1Ic).

[Thu, 28 Nov 2024 00:16:54 GMT] Added song (5YPz4UzJUp8).

[Thu, 28 Nov 2024 00:16:55 GMT] Created buffer file (./src/archive/_m6pKuONHrw-temp_audio.pcm) for song (_m6pKuONHrw).

[Thu, 28 Nov 2024 00:18:23 GMT] Cleared temp folder (./src/temp).

[Thu, 28 Nov 2024 00:18:55 GMT] Created buffer file (./src/temp/QC_NH5p_lC8-temp_audio.pcm) for song (QC_NH5p_lC8).

[Thu, 28 Nov 2024 00:18:55 GMT] Audio is now buffering!

[Thu, 28 Nov 2024 00:18:55 GMT] Audio is now playing!

[Thu, 28 Nov 2024 00:19:02 GMT] Added song (sccTIklvW_o).

[Thu, 28 Nov 2024 00:19:04 GMT] Added song (bA2FvdKKuYA).

[Thu, 28 Nov 2024 00:19:04 GMT] Added song (W_ZQggWfKc8).

[Thu, 28 Nov 2024 00:19:05 GMT] Added song (ziFECvMTrRo).

[Thu, 28 Nov 2024 00:19:05 GMT] Added song (1z2MKRJtQuE).

[Thu, 28 Nov 2024 00:19:05 GMT] Added song (PsQr3EsWVC0).

[Thu, 28 Nov 2024 00:19:05 GMT] Added song (cD801P7ZrZY).

[Thu, 28 Nov 2024 00:19:06 GMT] Added song (GCz9dZE6uoU).

[Thu, 28 Nov 2024 00:19:11 GMT] Cleared temp folder (./src/temp).

[Thu, 28 Nov 2024 01:31:01 GMT] Created buffer file (./src/temp/sccTIklvW_o-temp_audio.pcm) for song (sccTIklvW_o).

[Thu, 28 Nov 2024 01:31:01 GMT] Audio is now buffering!

[Thu, 28 Nov 2024 01:31:01 GMT] Audio is now playing!

[Thu, 28 Nov 2024 01:31:29 GMT] Added song (W99D2nc4WBg).

[Thu, 28 Nov 2024 01:31:31 GMT] Added song (jltjjqz0-Rg).

[Thu, 28 Nov 2024 01:31:31 GMT] Added song (tsZFYo92d0M).

[Thu, 28 Nov 2024 01:31:31 GMT] Added song (W7Ymf9DiBJA).

[Thu, 28 Nov 2024 01:31:31 GMT] Added song (973I1uqT7Rk).

