Start of debug log: Mon, 25 Nov 2024 11:28:27 GMT
Format: [Timestamp] Message

[Tue, 26 Nov 2024 02:27:48 GMT] Audio is now playing!

[Tue, 26 Nov 2024 02:29:24 GMT] Audio has finished playing.

[Tue, 26 Nov 2024 02:34:46 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 02:36:23 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 02:37:25 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:00:36 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:02:26 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:04:22 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:04:54 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:05:27 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:08:42 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:11:23 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:13:44 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:15:15 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:16:22 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:17:38 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:19:56 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:21:23 GMT] Created new queue for bot (1310116919403216997).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (wKKX5phpRo4).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (uAmgPYMY3o8).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (l5dgwg7j-fA).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (FQSHcl6TJb4).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (GV3HPY2ZD4Q).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (4yG8caPPY1Y).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (mkIbhgZtD5g).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (g3UM7l47AGM).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (MKVmXUEd11g).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (MJDn70jh1V0).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (5shR-adk0ks).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (kXF3VYYa5TI).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (UjBTtNU27Ec).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (dHg50mdODFM).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (zw47ymC0RNQ).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (ciL7OKWSu10).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (FLqUt8NK73c).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (243Uguc-6mQ).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (7GIWV__qx4M).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (MiUjLJJligs).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (pkj7M1EFiFM).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (p1QY1CAFiK0).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (Zmd43wV2Ko4).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (p2683qjAVkc).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (uMk-1BWt5s0).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (F-1FAgZ06Gs).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (2D3J7tBkj9U).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (eaXddTft7RM).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (lsVm-HWXCJ0).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (J_hJDitrh8M).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (WnIvneBFtBc).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (BJEqdto_uGw).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (pNaFpUM1vSg).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (Ez0HLHazVys).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (MQs4eaPdvAY).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (k90oOStDA4M).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (8lmxvhKjyWM).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (rgW_xr76CVE).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (jyAI21BtKss).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (u9xSFk1ZDgw).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (vx4kLgnFexo).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (DZ47H84Bc_Q).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (6jGPypPNEg4).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (C6CeA6vRtW4).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (PCkYR5nErXU).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (zEGbIpD6wNo).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (M0OTqNRZNPI).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (AvDrW4JTjME).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (mMAWyoVtwzs).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (P1V6cQJpbc4).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (m7z0jM81gvc).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (xXQNdUpCQzw).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (EXQ5D0v4rmw).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (LD6ePgLagcU).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (bFQAcogDYvs).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (HQnC1UHBvWA).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (js4qg4FwUQ0).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (kqciNaDT-NM).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (nSEkh4mgYqc).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (pJHZ51YR028).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (C73qhyqt1FU).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (hOA4SEJetnQ).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (iggmiF7DNoM).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (PD1EXJScA6k).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (ILkWJfmd6ZM).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (uSiHqxgE2d0).

[Tue, 26 Nov 2024 03:21:28 GMT] Added song (V3L14JhF1uI).

